ID  объявления,numbers_rooms,area_square,parking,price,repair,balcony,ceilings,comfort_cat,district,walking_dist,bath_comb,bath_sep,loggia,elev_pass,elev_cargo,max_floor,type_house,cur_floor
274047057,1,33,1.0,40000,0.4,0,2.6,0,0.25,0,1,0,0,1,1,25,0.5,11
273627341,2,54,0.5,40000,0.4,0,2.48,0,0.25,1,0,1,0,1,0,12,0.28,5
268684501,1,40,0.5,40000,0.4,0,2.7,0,0.25,0,0,1,1,1,1,19,0.26,15
274957025,1,39,0.5,40000,0.64,0,2.7,0,0.25,0,1,0,0,1,1,25,0.28,18
274553458,1,41,0.5,40000,0.4,1,2.7,0,0.25,0,1,0,0,1,1,24,0.28,14
274524857,1,40,0.5,40000,0.4,0,2.64,0,0.25,1,0,1,1,1,0,14,0.28,13
274685661,1,35,0.5,40000,0.64,0,2.64,0,0.25,0,1,0,0,0,0,25,0.28,4
273869951,1,40,0.5,40000,0.4,1,2.64,0,0.25,0,0,1,0,1,0,12,0.28,3
274897021,1,38,0.5,40000,0.64,0,2.64,0,0.25,1,1,0,1,1,1,17,0.28,9
274799291,2,46,0.5,40000,0.4,1,2.5,0,0.25,1,1,0,0,1,0,12,0.28,11
272334988,1,43,0.5,40000,0.4,0,3.0,0,0.25,0,1,0,0,1,1,25,0.69,6
274451688,1,40,0.5,41000,0.4,0,2.8,0,0.25,0,1,0,0,1,1,25,0.5,6
274957045,1,41,0.5,41000,0.4,0,2.5,0,0.25,0,0,1,0,1,1,27,0.5,18
274782152,1,38,0.5,42000,0.64,0,2.64,0,0.25,1,1,0,0,1,0,17,0.28,14
274454827,1,41,0.5,43000,0.4,1,2.64,0,0.25,0,1,0,0,1,1,24,0.5,20
274970981,1,35,0.5,43000,0.4,0,2.64,0,0.25,1,1,0,0,0,0,14,0.28,5
274937128,1,34,0.5,43000,0.64,0,2.65,0,0.25,0,1,0,1,1,1,17,0.5,17
268509821,2,45,0.5,44000,0.4,1,2.7,0,0.25,0,1,0,0,0,0,5,0.28,4
273587121,2,60,0.5,45000,0.4,0,2.64,0,0.25,0,0,1,0,1,0,25,0.28,23
273555029,1,40,0.5,45000,0.4,0,2.64,0,0.25,0,1,0,0,0,0,25,0.28,18
273898963,2,51,0.5,45000,0.4,1,2.6,0,0.25,0,1,0,0,1,1,17,0.28,3
273612180,2,53,0.5,45000,1.0,1,2.64,0,0.25,0,1,0,0,1,1,14,0.28,12
274932922,2,53,0.5,45000,0.4,0,2.7,0,0.25,0,1,1,0,1,1,25,0.28,5
274308997,2,45,0.5,45000,0.64,0,2.64,0,0.25,0,1,0,0,1,1,25,0.28,10
272529409,2,40,0.5,45000,1.0,0,2.64,0,0.25,0,1,0,0,1,1,24,0.28,10
259536056,1,40,0.5,45000,0.64,1,2.64,0,0.25,1,1,0,1,1,0,16,0.5,10
272681306,2,65,0.5,46000,0.64,0,2.64,0,0.25,0,0,1,0,0,0,5,0.56,2
274880904,2,40,0.5,47000,0.4,1,2.64,0,0.25,1,1,0,0,0,0,5,0.41,3
274920719,2,42,0.5,47000,0.64,0,3.0,1,0.25,1,1,0,0,1,0,16,0.28,8
273471830,1,36,1.0,48000,0.4,0,2.64,0,0.25,0,1,0,0,0,0,10,0.5,4
272943694,2,41,0.5,48000,0.4,1,2.6,0,0.25,1,1,0,0,0,0,5,0.41,2
274957044,2,55,0.5,48500,0.64,0,2.5,0,0.25,0,1,1,0,1,1,25,0.28,23
274957043,2,54,0.5,48500,0.64,0,2.5,0,0.25,0,1,1,0,1,1,25,0.28,22
273141948,2,60,0.5,50000,0.64,1,2.64,0,0.25,0,1,0,0,1,1,16,0.28,4
274745364,2,55,0.5,50000,0.4,1,2.64,0,0.25,1,1,0,0,0,1,12,0.28,5
273321049,2,60,0.5,50000,0.4,0,2.64,0,0.25,0,0,1,1,0,0,13,0.69,13
274360511,2,60,1.0,50000,0.4,0,2.64,0,0.25,0,1,0,0,1,1,16,0.28,2
274481602,2,56,0.5,50000,0.4,0,2.64,0,0.25,0,0,1,1,1,1,24,0.28,10
268742141,3,53,0.5,50000,0.4,1,2.64,0,0.25,1,0,1,0,1,0,9,0.28,4
274662260,2,60,0.5,50000,0.64,0,3.0,0,0.25,1,0,1,0,1,0,25,0.28,5
262348518,2,54,0.5,50000,0.64,0,2.48,0,0.25,0,1,0,0,1,0,12,0.26,9
267498606,3,51,0.5,50000,0.64,0,2.48,0,0.25,1,1,0,1,1,0,9,0.28,5
273523329,3,70,0.5,50000,0.4,0,2.64,0,0.25,0,0,1,0,0,0,15,0.28,13
262734009,2,54,0.5,50000,0.4,1,2.64,0,0.25,1,0,1,0,1,0,14,0.28,10
267718058,2,60,0.5,50000,0.64,1,2.64,0,0.25,1,1,0,0,1,0,16,0.5,9
270599576,2,53,0.5,53000,0.4,0,2.65,0,0.25,1,0,1,1,1,1,17,0.28,10
274886910,2,59,0.5,54600,0.64,0,2.4,0,0.25,0,1,1,0,1,1,16,0.28,13
274442953,3,67,0.5,55000,0.4,0,2.64,0,0.25,1,0,1,1,1,1,16,0.28,9
274943337,1,42,0.5,55000,0.4,0,2.7,0,0.25,0,0,1,0,1,1,25,0.5,19
